dataset,perturbation,n_valid,rank_correlation_mean,rank_correlation_std,topk_overlap_k3_mean,topk_overlap_k5_mean,topk_overlap_k10_mean,stability_score_mean,stability_score_std
JapaneseVowels,gaussian_sigma_0.05,9,0.9967149758454104,0.002485928566235453,0.9444444444444444,1.0,0.9797979797979798,0.9985697702543835,0.0006887348538772721
JapaneseVowels,gaussian_sigma_0.10,9,0.9948792270531399,0.003239237606616421,0.9444444444444444,1.0,0.9797979797979798,0.9976023743707378,0.0010039481899918592
JapaneseVowels,gaussian_sigma_0.20,9,0.9921739130434781,0.003380261968026227,0.7777777777777778,0.9259259259259258,0.9797979797979798,0.9739623616608729,0.0418459232576799
JapaneseVowels,time_warp_factor_0.05,9,0.9911111111111109,0.003496997308377572,1.0,0.8888888888888888,0.9191919191919192,0.96289255855536,0.047239091910629624
JapaneseVowels,time_warp_factor_0.10,9,0.9882125603864734,0.0043788479975361005,1.0,0.8888888888888888,0.9393939393939394,0.961893100632158,0.04708283408491576
JapaneseVowels,time_warp_factor_0.20,9,0.9794202898550723,0.006622411396403404,0.9444444444444444,0.8518518518518519,0.8989898989898991,0.9477708362351019,0.04927696934562027
JapaneseVowels,phase_shift_max_1,9,0.7658937198067632,0.12080926990015498,0.48888888888888893,0.6044973544973545,0.6824286824286825,0.8074053509202969,0.0868591390406719
JapaneseVowels,phase_shift_max_2,9,0.8571980676328501,0.07985786341715562,0.8,0.5873015873015873,0.7471787471787472,0.8282536065305239,0.048031666602742364
JapaneseVowels,phase_shift_max_3,5,0.8408695652173911,0.039240425126177945,0.44000000000000006,0.5547619047619047,0.7272727272727273,0.8140168097743274,0.07336562397110008
PenDigits,gaussian_sigma_0.05,35,0.9896397515527949,0.008515833746904788,0.9057142857142857,0.9102040816326531,0.929004329004329,0.9700246479467566,0.05335093238168761
PenDigits,gaussian_sigma_0.10,35,0.9742360248447203,0.020173790655321305,0.8485714285714285,0.8013605442176872,0.8612720612720614,0.9331478502953894,0.06385803783134951
PenDigits,gaussian_sigma_0.20,35,0.9391304347826087,0.050074101179808546,0.7142857142857143,0.7377551020408164,0.7999238856381713,0.9046907774878777,0.07600620618046239
PenDigits,time_warp_factor_0.05,35,0.9944099378881986,0.005325122597083626,0.9285714285714286,0.9523809523809522,0.9480519480519481,0.9840553169281019,0.03508910849924302
PenDigits,time_warp_factor_0.10,35,0.985391304347826,0.011181946021341578,0.8485714285714285,0.8857142857142857,0.916883116883117,0.961516361176481,0.04798839220445939
PenDigits,time_warp_factor_0.20,35,0.9692173913043478,0.020326473906038815,0.82,0.8435374149659863,0.870995670995671,0.9442864342082745,0.05892470052800612
PenDigits,phase_shift_max_2,23,0.7848393194706994,0.11691630459042017,0.5652173913043478,0.489648033126294,0.6538533929838277,0.7910221644061712,0.05219859617491781
PenDigits,phase_shift_max_1,5,0.846782608695652,0.049708108294781686,0.8,0.9333333333333332,0.7272727272727273,0.934985050700065,0.04184106673865733
LSST,gaussian_sigma_0.05,37,0.9692596944770859,0.05915538846389011,0.8783783783783784,0.8751608751608752,0.9195489195489196,0.9546539531867929,0.07025918384994564
LSST,gaussian_sigma_0.10,37,0.9429142185663923,0.07887219550951745,0.8486486486486486,0.8278635778635779,0.8689598689598689,0.9337977929855991,0.0818133029574919
LSST,gaussian_sigma_0.20,37,0.901903642773208,0.11248108097084145,0.7405405405405405,0.7725225225225225,0.8236538236538236,0.9068585848536104,0.09367559536562658
LSST,time_warp_factor_0.05,34,0.9127109974424551,0.05933094284304631,0.7088235294117647,0.7156862745098039,0.7803373097490746,0.8924579928245086,0.07042405986181717
LSST,time_warp_factor_0.10,34,0.9009462915601023,0.06398750560759733,0.6705882352941177,0.6708683473389354,0.7834910187851364,0.8759494687011253,0.07876199490321034
LSST,time_warp_factor_0.20,34,0.8636317135549871,0.09917764178354263,0.5882352941176471,0.6638655462184875,0.7408375937787701,0.8642088396738008,0.09180483966329302
LSST,phase_shift_max_1,37,0.86406580493537,0.08639112404619657,0.6108108108108108,0.6444658944658944,0.7496377496377495,0.8583987041007258,0.07910610115547499
LSST,phase_shift_max_2,34,0.8649104859335038,0.10129724185102354,0.6411764705882353,0.6449579831932771,0.758535582064994,0.8590298657429954,0.07960297164515884
LSST,phase_shift_max_3,37,0.8214806110458283,0.1335780853428627,0.5054054054054054,0.5750750750750749,0.7088677088677089,0.8271103051291476,0.09305457691449517
