dataset,mode,class,pair,baseline_P,delta_multi5
JapaneseVowels,denoise,1,pair_5_20,0.3658146560192108,0.4558736979961395
JapaneseVowels,denoise,1,pair_5_1,0.408084899187088,0.4526064693927765
JapaneseVowels,denoise,2,pair_58_44,0.1072455123066902,0.616930365562439
JapaneseVowels,denoise,2,pair_58_31,0.1136041954159736,0.7217293381690979
JapaneseVowels,denoise,2,pair_58_36,0.0062039582990109,0.4773320257663727
JapaneseVowels,denoise,2,pair_58_46,0.0876738801598548,0.4451525509357452
JapaneseVowels,denoise,3,pair_144_127,0.3751675188541412,0.5823493003845215
JapaneseVowels,denoise,3,pair_144_114,0.1849781423807144,0.601884126663208
JapaneseVowels,denoise,4,pair_162_170,0.0348187945783138,0.92438006401062
JapaneseVowels,noise,1,pair_1_5,0.999925136566162,0.0
JapaneseVowels,noise,1,pair_20_5,0.999925136566162,0.0
JapaneseVowels,noise,2,pair_46_58,0.9999905824661256,0.0
JapaneseVowels,noise,2,pair_36_58,0.9999905824661256,0.0
JapaneseVowels,noise,2,pair_31_58,0.9999905824661256,0.0
JapaneseVowels,noise,2,pair_44_58,0.9999905824661256,0.0
JapaneseVowels,noise,3,pair_127_144,0.9999535083770752,0.0
JapaneseVowels,noise,3,pair_114_144,0.9999535083770752,0.0
JapaneseVowels,noise,4,pair_170_162,0.9999767541885376,0.0
PenDigits,denoise,0,pair_3225_1949,0.3327536582946777,0.2901943922042846
PenDigits,denoise,0,pair_3225_2905,0.2311708331108093,0.3026768565177917
PenDigits,denoise,0,pair_3225_1904,0.3554083108901977,0.2604337334632873
PenDigits,denoise,0,pair_3225_529,0.1869248896837234,0.2867774367332458
PenDigits,denoise,0,pair_3225_1317,0.2676996290683746,0.284410148859024
PenDigits,denoise,1,pair_1888_1123,0.0001671539648668,0.0
PenDigits,denoise,1,pair_1888_1640,0.0359785594046115,0.136662021279335
PenDigits,denoise,1,pair_1888_945,0.0009294577175751,1.8044374883174894e-09
PenDigits,denoise,2,pair_2763_1243,0.4157783985137939,0.4321876168251037
PenDigits,denoise,2,pair_2763_2214,0.1494655162096023,0.5941146016120911
PenDigits,denoise,3,pair_2844_402,0.0001245614548679,0.0
PenDigits,denoise,3,pair_2844_41,0.0001542145182611,0.0
PenDigits,denoise,3,pair_2844_1067,0.0666871145367622,0.2488718926906585
PenDigits,denoise,3,pair_2844_2628,0.0477236695587635,0.1435299068689346
PenDigits,denoise,3,pair_2844_167,0.2051188200712204,0.3270021080970764
PenDigits,denoise,4,pair_418_2478,0.0064562624320387,0.0
PenDigits,denoise,4,pair_418_603,0.0096547398716211,1.862645149230957e-09
PenDigits,denoise,4,pair_418_130,0.0332572236657142,0.1575154066085815
PenDigits,denoise,4,pair_418_3368,0.0066549554467201,0.0
PenDigits,denoise,4,pair_418_3276,0.0024276378098875,2.3283064365386963e-10
PenDigits,denoise,5,pair_2102_2014,0.0625022649765014,0.2270855009555816
PenDigits,denoise,5,pair_2102_3048,0.0687110722064971,0.4241910874843597
PenDigits,denoise,5,pair_2102_411,0.0332864113152027,0.1631772965192794
PenDigits,denoise,5,pair_2102_2679,0.0607879124581813,0.2173884510993957
PenDigits,denoise,5,pair_2102_3254,0.0248028263449668,0.1349075436592102
PenDigits,denoise,7,pair_482_3155,0.029891638085246,0.526955246925354
PenDigits,denoise,7,pair_482_3489,0.0025376500561833,0.0
PenDigits,denoise,7,pair_482_2112,0.0315462797880172,0.1009466797113418
PenDigits,denoise,7,pair_482_534,0.0104145566001534,-9.313225746154784e-09
PenDigits,denoise,7,pair_482_1304,0.009312380105257,0.0
PenDigits,denoise,9,pair_1516_243,0.0078146792948246,-1.862645149230957e-09
PenDigits,denoise,9,pair_1516_2885,1.2145970686106011e-05,1.1823431123048067e-11
PenDigits,denoise,9,pair_1516_3351,0.0005930805345997,4.074536263942718e-10
PenDigits,denoise,9,pair_1516_2175,2.3432083253283057e-05,-2.3646862246096134e-11
PenDigits,denoise,9,pair_1516_1608,4.293251186027192e-05,0.0
PenDigits,noise,0,pair_529_3225,0.999948501586914,0.0
PenDigits,noise,0,pair_1317_3225,0.999948501586914,0.0
PenDigits,noise,0,pair_2905_3225,0.999948501586914,0.0
PenDigits,noise,0,pair_1904_3225,0.999948501586914,0.0
