dataset,level,layer,head,n,mean,ci_lower,ci_upper,significant
JapaneseVowels,head,0,0,18,0.17641468441838193,0.08333512101258556,0.31242896146269317,True
JapaneseVowels,head,0,1,18,0.14800601217171383,0.07474868534033863,0.25251281364892736,True
JapaneseVowels,head,0,2,18,0.11265172201415731,0.055960814483888004,0.19110271317879393,True
JapaneseVowels,head,0,3,18,0.17434722198069924,0.08406392380936557,0.33243984422225265,True
JapaneseVowels,head,0,4,18,0.1491551114918871,0.07518169746013727,0.2480723397611085,True
JapaneseVowels,head,0,5,18,0.15118614555750456,0.07712459912971847,0.24829495450028544,True
JapaneseVowels,head,0,6,18,0.17210605070512328,0.08317093345347464,0.2996420456270675,True
JapaneseVowels,head,0,7,18,0.16010079111179543,0.07683748691424959,0.27018631979734054,True
JapaneseVowels,head,1,0,18,0.10813826583843264,0.05266785190782441,0.17367420370934133,True
JapaneseVowels,head,1,1,18,0.10130068031139672,0.0457086047151277,0.1882785485717741,True
JapaneseVowels,head,1,2,18,0.0402771586086601,0.01934808223062876,0.07078286506146722,True
JapaneseVowels,head,1,3,18,0.05819087022812002,0.024858940842109083,0.11051839190029414,True
JapaneseVowels,head,1,4,18,0.06316831068963641,0.02849643640654748,0.13029803652766167,True
JapaneseVowels,head,1,5,18,0.03557513920693762,0.011773109792417023,0.07787062747944708,True
JapaneseVowels,head,1,6,18,0.07270643966168994,0.037636424338940974,0.11422411281222095,True
JapaneseVowels,head,1,7,18,0.061009324699019395,0.023351189832141097,0.13217543262047668,True
JapaneseVowels,head,2,0,18,0.04275481146760285,0.0212876045052746,0.07387227412667578,True
JapaneseVowels,head,2,1,18,0.05420022579427394,0.023976548597708473,0.10100454014811741,True
JapaneseVowels,head,2,2,18,0.02007962051882512,0.0076998642205496565,0.03786971728765177,True
JapaneseVowels,head,2,3,18,0.042057491606101394,0.015570397595117127,0.09632522989409535,True
JapaneseVowels,head,2,4,18,0.030883328549356923,0.01383395764406292,0.06027353774329204,True
JapaneseVowels,head,2,5,18,0.030488456832244992,0.014069989013801885,0.06372568810578096,True
JapaneseVowels,head,2,6,18,0.03980030773931907,0.01944228152115589,0.07780628629181191,True
JapaneseVowels,head,2,7,18,0.03219571241384579,0.013449383119078416,0.06551498954366816,True
JapaneseVowels,layer,0,-1,18,0.15549596743140784,0.07940279374343025,0.24659449112953982,True
JapaneseVowels,layer,1,-1,18,0.0675457736554866,0.034964747924709036,0.10869047896613297,True
JapaneseVowels,layer,2,-1,18,0.03655749436519626,0.01796795549627803,0.0636649263680688,True
JapaneseVowels,dataset,-1,-1,432,0.08653307848403023,0.07382834134285102,0.1022333258708575,True
PenDigits,head,0,0,70,0.02157589022780095,0.013265049287307545,0.034045166179108306,True
PenDigits,head,0,1,70,0.03550456096605298,0.01971324757999801,0.06168020450730731,True
PenDigits,head,0,2,70,0.02109253233689482,0.01361167829066163,0.031277916737058306,True
PenDigits,head,0,3,70,0.010322041953830713,0.005281125599415841,0.021139874568313774,True
PenDigits,head,0,4,70,0.02858691013747635,0.01675407608172275,0.04855289800978478,True
PenDigits,head,0,5,70,0.031194354669059975,0.01868211421437369,0.05026968080227438,True
PenDigits,head,0,6,70,0.02969315632929335,0.01835836227047398,0.046539673083284425,True
PenDigits,head,0,7,70,0.026887548255971134,0.016212835286213933,0.04272969782629512,True
PenDigits,head,1,0,70,0.02152769163757122,0.01252531904686578,0.03507588295398914,True
PenDigits,head,1,1,70,0.02493952579812425,0.014546082994667075,0.040480421984096036,True
